Albert Park,495,-37.8438609,144.9514536,20,20,20,14,0,1,1,0,TRUE,Medium,16,1,5,5,5
Middle Park,495,-37.8509396,144.9615926,20,20,20,19,0,1,1,0,TRUE,Medium,21,1,5,5,5
St Kilda West,495,-37.8582498,144.9698325,20,20,20,8,0,1,1,0,TRUE,Medium,10,1,5,5,5
Armadale,420,-32.1515645,116.0140386,20,19,20,31,1,1,1,0,TRUE,Medium,34,1,5,4,5
Carlton North,575,-37.782195,144.9731431,20,20,20,22,0,1,1,0,TRUE,High,24,1,5,5,5
Carlton,320,-37.8007555,144.9669992,20,20,20,66,0,1,1,0,TRUE,Medium,68,3,5,5,5
Parkville,320,-37.7787036,144.9426083,20,20,20,34,1,1,1,0,TRUE,Medium,37,2,5,5,5
Melbourne,350,-37.8136276,144.9630576,20,20,20,180,1,1,1,1,TRUE,Medium,184,5,5,5,5
Collingwood,430,-37.799283,144.9873447,20,20,20,15,1,1,1,0,TRUE,Medium,18,1,5,5,5
Abbotsford,430,-37.8021095,145.0019064,20,20,20,27,1,1,1,0,TRUE,Medium,30,1,5,5,5
Docklands,400,-37.8190118,144.9465764,20,20,20,16,0,1,1,0,TRUE,Medium,18,1,5,5,5
East Melbourne,450,-37.8103283,144.9834796,20,20,20,22,1,1,1,0,TRUE,Medium,25,1,5,5,5
St Kilda East,380,-37.8668061,145.0027144,20,20,20,34,0,1,1,0,TRUE,Medium,36,2,5,5,5
Elwood,420,-37.8822486,144.9825759,20,20,20,44,0,1,1,0,TRUE,Medium,46,2,5,5,5
Fitzroy,540,-37.7983606,144.9784894,20,20,20,90,1,1,1,0,TRUE,High,93,4,5,5,5
Fitzroy North,540,-37.7832944,144.9838466,20,20,20,40,1,1,1,0,TRUE,High,43,2,5,5,5
Clifton Hill,540,-37.7877787,145.0002125,20,20,20,19,1,1,1,0,TRUE,High,22,1,5,5,5
Flemington,380,-37.7853038,144.9217957,20,20,20,39,1,1,1,0,TRUE,Medium,42,2,5,5,5
Kensington,380,-33.910021,151.2232749,20,20,20,28,1,1,1,0,TRUE,Medium,31,1,5,5,5
North Melbourne,360,-37.8008004,144.9485049,20,20,20,41,1,1,1,1,TRUE,Medium,45,2,5,5,5
West Melbourne,360,-37.8089044,144.9290625,20,20,20,32,1,1,1,1,TRUE,Medium,36,2,5,5,5
Port Melbourne,595,-37.8369312,144.9284179,20,20,20,72,0,1,1,0,TRUE,High,74,3,5,5,5
Prahran,400,-37.8507947,145.0027616,20,20,20,47,1,1,1,0,TRUE,Medium,50,2,5,5,5
Windsor,400,-33.606782,150.82046,20,16,20,41,1,1,1,0,TRUE,Medium,44,2,5,4,5
Richmond,460,-37.8238936,144.9982667,20,20,20,57,1,1,1,1,TRUE,Medium,61,3,5,5,5
Burnley,460,-37.8296728,145.0126479,20,20,20,9,1,1,0,0,TRUE,Medium,11,1,5,5,5
South Melbourne,435,-37.8343443,144.9559035,20,20,20,35,0,1,1,0,TRUE,Medium,37,2,5,5,5
South Yarra,400,-37.8395181,144.9955966,20,20,20,60,1,1,1,0,TRUE,Medium,63,3,5,5,5
Southbank,400,-37.82384,144.9624973,20,20,20,26,0,1,1,0,TRUE,Medium,28,1,5,5,5
St Kilda,370,-37.864,144.982,20,20,20,133,0,1,1,0,TRUE,Medium,135,5,5,5,5
Toorak,500,-37.8416751,145.0138468,20,20,20,83,1,1,1,0,TRUE,High,86,4,5,5,5
Balwyn,530,-37.8128937,145.0813238,20,20,20,120,0,1,1,0,TRUE,High,122,4,5,5,5
Blackburn,430,-37.8197129,145.1530529,20,20,20,222,1,1,1,0,TRUE,Medium,225,5,5,5,5
Box Hill,400,-37.8181073,145.1238563,20,20,20,133,1,1,1,1,TRUE,Medium,137,5,5,5,5
Bulleen,480,-37.769911,145.0893777,20,20,20,60,0,0,1,0,TRUE,Medium,61,3,5,5,5
Templestowe,480,-37.760599,145.142697,20,20,20,121,0,0,1,0,TRUE,Medium,122,4,5,5,5
Doncaster,480,-37.787397,145.1248634,20,20,20,201,0,1,1,0,TRUE,Medium,203,5,5,5,5
Burwood,450,-37.8494981,145.1090089,20,20,20,189,1,1,1,0,TRUE,Medium,192,5,5,5,5
Ashburton,450,-37.8636015,145.0811189,20,20,20,28,1,0,1,0,TRUE,Medium,30,1,5,5,5
Camberwell,450,-37.8326655,145.0681032,20,20,20,104,1,1,1,0,TRUE,Medium,107,4,5,5,5
Glen Iris,450,-37.8600246,145.0593297,20,20,20,55,1,1,1,0,TRUE,Medium,58,3,5,5,5
Canterbury,480,-33.9144301,151.1136352,20,20,20,130,1,1,1,0,TRUE,Medium,133,5,5,5,5
Surrey Hills,480,-33.8867758,151.2122703,20,20,20,44,1,1,1,0,TRUE,Medium,47,2,5,5,5
Mont Albert,480,-37.8160228,145.1077021,20,20,20,46,1,1,1,0,TRUE,Medium,49,2,5,5,5
Chadstone,430,-37.8810091,145.0959519,20,20,20,34,0,0,1,0,TRUE,Medium,35,2,5,5,5
Oakleigh,430,-37.9016644,145.091857,20,20,20,120,1,0,1,0,TRUE,Medium,122,4,5,5,5
Clayton,395,-37.9145479,145.127492,20,20,20,127,1,0,1,1,TRUE,Medium,130,4,5,5,5
Doncaster East,495,-37.7891081,145.1619649,20,20,20,94,0,0,1,0,TRUE,Medium,95,4,5,5,5
Donvale,495,-37.7963916,145.1791034,20,20,20,40,0,0,1,0,TRUE,Medium,41,2,5,5,5
Hawthorn East,380,-37.8303331,145.047703,20,20,20,40,1,1,1,0,TRUE,Medium,43,2,5,5,5
