Abbotsford,433.75,-37.80210950000001,145.0019064,20,20,20,11,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Albert Park,498.75,-37.8438609,144.9514536,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Alfredton,362.5,-37.5546263,143.8073019,20,20,20,18,20,20,20,7,Medium,5,5,5,4,5,5,5,2
Alphington,398.75,-37.7805624,145.0322776,20,20,20,2,10,14,20,20,Medium,5,5,5,1,3,3,5,5
Altona,400.0,-37.864571,144.8311028,20,20,20,7,9,13,20,4,Medium,5,5,5,2,2,3,5,1
Armadale,433.75,-32.1515645,116.0140386,20,20,20,6,10,20,20,0,Medium,5,5,5,2,3,5,5,1
Ascot Vale,405.5,-37.7745085,144.9278026,20,20,20,11,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Ashburton,450.0,-37.8636015,145.0811189,20,20,20,5,19,20,20,20,Medium,5,5,5,2,4,5,5,5
Aspendale,452.5,-38.0196821,145.0988172,20,20,20,9,14,20,20,1,Medium,5,5,5,2,3,5,5,1
Avondale Heights,405.0,-37.7684005,144.8646254,20,20,20,7,7,8,20,20,Medium,5,5,5,2,2,2,5,5
Bairnsdale,335.0,-37.8366265,147.5993569,1,20,11,7,7,10,20,0,Medium,1,5,3,2,2,3,5,1
Ballarat,331.25,-37.5621587,143.8502556,20,20,20,20,20,20,20,6,Medium,5,5,5,5,5,5,5,2
Balwyn,529.5,-37.8128937,145.0813238,20,20,20,9,16,20,20,20,High,5,5,5,2,4,5,5,5
Barwon Heads,482.5,-38.274423,144.4884287,5,20,20,7,13,13,20,0,Medium,2,5,5,2,3,3,5,1
Bayswater,400.0,-31.9155265,115.9205932,20,20,20,1,6,15,20,12,Medium,5,5,5,1,2,4,5,3
Beaumaris,588.75,-37.9825379,145.0418067,20,20,20,18,20,20,20,8,High,5,5,5,4,5,5,5,2
Belmont,406.25,-31.9497631,115.9297417,20,20,20,9,9,18,20,13,Medium,5,5,5,2,2,4,5,3
Benalla,337.5,-36.5516675,145.9833473,0,20,10,5,4,11,20,0,Medium,1,5,3,2,1,3,5,1
Bendigo,350.0,-36.75961960000001,144.2785764,20,20,20,20,20,20,20,2,Medium,5,5,5,5,5,5,5,1
Bendigo East,345.0,-36.7466312,144.3041781,20,20,20,20,20,20,20,2,Medium,5,5,5,5,5,5,5,1
Bentleigh,490.0,-37.9188435,145.0417166,20,20,20,5,20,20,20,17,Medium,5,5,5,2,5,5,5,4
Berwick,410.0,-38.0309443,145.3437469,20,20,20,12,20,20,20,0,Medium,5,5,5,3,5,5,5,1
Blackburn,423.75,-37.8197129,145.1530529,20,20,20,7,15,20,20,19,Medium,5,5,5,2,4,5,5,4
Boronia,397.5,-37.8626744,145.2856552,20,20,20,4,12,15,20,1,Medium,5,5,5,1,3,4,5,1
Box Hill,401.25,-37.8181073,145.1238563,20,20,20,10,20,20,20,18,Medium,5,5,5,3,5,5,5,4
Brighton,657.5,-37.9128827,144.9915515,20,20,20,8,20,11,20,10,High,5,5,5,2,5,3,5,3
Brighton East,717.5,-37.9156746,145.0159759,20,20,20,13,20,18,20,14,High,5,5,5,3,5,4,5,3
Broadmeadows,368.5,-37.6858788,144.9246674,20,20,16,6,14,12,20,4,Medium,5,5,4,2,3,3,5,1
Brunswick,426.5,-37.7670374,144.9621035,20,20,20,3,20,20,20,20,Medium,5,5,5,1,5,5,5,5
Bulleen,478.75,-37.769911,145.0893777,20,20,20,1,12,10,20,18,Medium,5,5,5,1,3,3,5,4
Bundoora,407.5,-37.6948854,145.0622727,20,20,20,3,18,7,20,9,Medium,5,5,5,1,4,2,5,2
Buninyong,356.25,-37.650278,143.883889,20,20,18,1,3,13,20,5,Medium,5,5,4,1,1,3,5,2
Burnley,465.75,-37.8296728,145.0126479,20,20,20,17,20,20,20,20,Medium,5,5,5,4,5,5,5,5
Burwood,450.0,-37.8494981,145.1090089,20,20,20,3,14,20,20,20,Medium,5,5,5,1,3,5,5,5
Burwood East,450.0,-37.8526163,145.1519822,20,20,16,4,15,20,20,20,Medium,5,5,4,1,4,5,5,5
Camberwell,456.25,-37.8326655,145.0681032,20,20,20,12,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Canterbury,487.5,-33.9144301,151.1136352,20,20,20,7,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Carlton,335.0,-37.8007555,144.9669992,20,20,20,16,20,20,20,20,Medium,5,5,5,4,5,5,5,5
Carlton North,577.5,-37.782195,144.9731431,20,20,20,10,20,20,20,20,High,5,5,5,3,5,5,5,5
Carnegie,400.0,-37.8891994,145.0570577,20,20,20,5,10,18,20,20,Medium,5,5,5,2,3,4,5,5
Carrum,452.5,-38.07635519999999,145.123188,20,20,20,17,20,20,20,3,Medium,5,5,5,4,5,5,5,1
Carrum Downs,392.5,-38.0994897,145.1726257,20,20,20,3,14,20,20,2,Medium,5,5,5,1,3,5,5,1
Castlemaine,370.0,-37.06328999999999,144.2172327,2,20,15,4,6,12,20,0,Medium,1,5,4,1,2,3,5,1
Caulfield,408.75,-37.8831621,145.0295877,20,20,20,8,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Chadstone,433.75,-37.8810091,145.0959519,20,20,20,16,18,20,20,20,Medium,5,5,5,4,4,5,5,5
Chelsea,452.5,-38.051641,145.1160848,20,20,20,20,20,20,20,4,Medium,5,5,5,5,5,5,5,1
Cheltenham,462.5,-37.9656436,145.0578515,20,20,20,19,20,20,20,12,Medium,5,5,5,4,5,5,5,3
Clayton,398.25,-37.9145479,145.127492,20,20,20,8,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Clifton Hill,535.0,-37.7877787,145.0002125,20,20,20,7,20,20,20,20,High,5,5,5,2,5,5,5,5
Coburg,451.25,-37.7412988,144.9666108,20,20,20,8,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Coburg North,410.0,-37.7273944,144.9637677,20,20,20,8,9,16,20,20,Medium,5,5,5,2,2,4,5,5
Collingwood,433.75,-37.799283,144.9873447,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Corio,310.0,-38.0741368,144.358638,15,20,14,5,7,20,20,2,Medium,4,5,3,2,2,5,5,1
Craigieburn,390.0,-37.5939825,144.9100319,20,20,20,5,17,14,20,0,Medium,5,5,5,2,4,3,5,1
Cranbourne,401.25,-38.1054204,145.2818338,0,20,20,8,20,20,20,0,Medium,1,5,5,2,5,5,5,1
Croydon,428.75,-37.7944026,145.2812664,20,20,20,8,6,17,20,0,Medium,5,5,5,2,2,4,5,1
Dandenong,350.0,-37.9847811,145.2139907,20,20,20,13,20,20,20,9,Medium,5,5,5,3,5,5,5,2
Dandenong North,363.75,-37.9592436,145.206837,20,20,18,0,18,16,20,12,Medium,5,5,4,1,4,4,5,3
Deer Park,350.0,-37.7702749,144.7747728,20,20,20,13,20,20,20,2,Medium,5,5,5,3,5,5,5,1
Delacombe,337.5,-37.5783917,143.8086995,20,20,20,12,20,20,20,6,Medium,5,5,5,3,5,5,5,2
Docklands,405.0,-37.8190118,144.9465764,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Doncaster,478.75,-37.787397,145.1248634,20,20,20,8,20,12,20,17,Medium,5,5,5,2,5,3,5,4
Doncaster East,483.75,-37.7891081,145.1619649,20,20,20,1,12,17,20,16,Medium,5,5,5,1,3,4,5,4
Donvale,483.75,-37.7963916,145.1791034,20,20,18,0,11,11,20,10,Medium,5,5,4,1,3,3,5,3
Dromana,445.0,-38.3361633,144.9740524,5,20,20,8,16,15,20,0,Medium,2,5,5,2,4,4,5,1
East Brunswick,407.5,-37.7673388,144.9802463,20,20,20,7,20,20,20,20,Medium,5,5,5,2,5,5,5,5
East Hawthorn,392.5,-37.8303331,145.047703,20,20,20,13,20,20,20,20,Medium,5,5,5,3,5,5,5,5
East Melbourne,450.0,-37.81032829999999,144.9834796,20,20,20,10,20,20,20,20,Medium,5,5,5,3,5,5,5,5
East St Kilda,386.25,-37.8668061,145.0027144,20,20,20,13,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Echuca,358.25,-36.1404431,144.7511231,4,20,20,10,9,14,20,0,Medium,1,5,5,3,2,3,5,1
Elsternwick,442.25,-37.8849536,145.0059691,20,20,20,9,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Eltham,465.75,-37.718984,145.1460687,20,20,20,14,20,20,20,6,Medium,5,5,5,3,5,5,5,2
Elwood,421.25,-37.8822486,144.9825759,20,20,20,10,14,20,20,20,Medium,5,5,5,3,3,5,5,5
Endeavour Hills,363.75,-37.9749174,145.2581884,20,20,20,16,20,20,20,5,Medium,5,5,5,4,5,5,5,2
Epping,380.0,-37.6376635,145.0264991,20,20,20,16,20,20,20,6,Medium,5,5,5,4,5,5,5,2
Essendon,398.75,-37.7527648,144.9160333,20,20,20,13,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Fairfield,398.75,-33.8705856,150.9564102,20,20,20,6,20,20,20,1,Medium,5,5,5,2,5,5,5,1
Fawkner,387.5,-37.7072243,144.9669297,20,20,20,2,5,9,20,15,Medium,5,5,5,1,2,2,5,4
Ferntree Gully,422.5,-37.8826855,145.2776105,20,20,20,18,20,20,20,2,Medium,5,5,5,4,5,5,5,1
Fitzroy,537.5,-37.7983606,144.9784894,20,20,20,20,20,20,20,20,High,5,5,5,5,5,5,5,5
Fitzroy North,535.0,-37.7832944,144.9838466,20,20,20,9,20,20,20,20,High,5,5,5,2,5,5,5,5
Flemington,398.75,-37.7853038,144.9217957,20,20,20,11,15,20,20,20,Medium,5,5,5,3,4,5,5,5
Flinders,427.5,-38.4344541,144.9726306,2,20,19,0,2,8,20,0,Medium,1,5,4,1,1,2,5,1
Flora Hill,345.0,-36.7776416,144.2944497,20,20,20,20,20,20,20,2,Medium,5,5,5,5,5,5,5,1
Footscray,362.5,-37.7988987,144.892357,20,20,20,9,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Forest Hill,450.0,-37.8347413,145.1727369,20,20,20,5,18,20,20,17,Medium,5,5,5,2,4,5,5,4
Frankston,386.25,-38.1466246,145.135722,20,20,20,17,20,20,20,2,Medium,5,5,5,4,5,5,5,1
Geelong,371.25,-38.1492994,144.3598426,20,20,20,20,20,20,20,4,Medium,5,5,5,5,5,5,5,1
Geelong West,376.25,-38.1430788,144.3478414,20,20,20,20,20,20,20,4,Medium,5,5,5,5,5,5,5,1
Gladstone Park,392.5,-37.6926696,144.8951801,20,20,20,6,9,11,20,4,Medium,5,5,5,2,2,3,5,1
Glen Iris,456.25,-37.8600246,145.0593297,20,20,20,4,20,20,20,20,Medium,5,5,5,1,5,5,5,5
Glen Waverley,480.0,-37.87435019999999,145.1668205,20,20,20,13,20,20,20,18,Medium,5,5,5,3,5,5,5,4
Glenroy,387.5,-37.7062465,144.9161373,20,20,20,1,9,12,20,10,Medium,5,5,5,1,2,3,5,3
Golden Square,347.25,-36.7711563,144.2614649,20,20,20,20,20,20,20,2,Medium,5,5,5,5,5,5,5,1
Greensborough,407.5,-37.70436979999999,145.1006438,20,20,20,7,11,9,20,7,Medium,5,5,5,2,3,2,5,2
Grovedale,406.25,-38.20688690000001,144.3402631,19,20,20,12,20,20,20,4,Medium,4,5,5,3,5,5,5,1
Hamilton,287.5,-37.7420251,142.0216734,2,20,15,7,4,14,20,0,Low,1,5,4,2,1,3,5,1
Hampton,588.75,-37.9338333,145.0031893,20,20,20,16,20,20,20,10,High,5,5,5,4,5,5,5,3
Hampton Park,392.5,-38.032286,145.2678469,20,20,20,9,20,20,20,2,Medium,5,5,5,2,5,5,5,1
Hastings,427.5,-38.3077213,145.1837468,5,20,20,11,11,14,20,0,Medium,2,5,5,3,3,3,5,1
Hawthorn,377.5,-37.8226005,145.0353696,20,20,20,19,20,20,20,20,Medium,5,5,5,4,5,5,5,5
Heidelberg,417.5,-37.7566014,145.0696116,20,20,20,3,20,15,20,20,Medium,5,5,5,1,5,4,5,5
Heidelberg West,417.5,-37.7415712,145.0428381,20,20,20,7,20,8,20,20,Medium,5,5,5,2,5,2,5,5
Herne Hill,376.25,-31.829159,116.0166401,20,20,5,0,1,10,20,0,Medium,5,5,2,1,1,3,5,1
Hoppers Crossing,363.75,-37.8629027,144.6854533,20,20,20,15,20,20,20,0,Medium,5,5,5,4,5,5,5,1
Horsham,306.25,-36.7166715,142.1996597,4,20,16,9,2,14,20,0,Medium,1,5,4,2,1,3,5,1
Hughesdale,402.25,-37.8947609,145.0848814,20,20,20,17,15,20,20,18,Medium,5,5,5,4,4,5,5,4
Hurstbridge,407.5,-37.6374085,145.1944322,20,16,6,1,1,5,20,0,Medium,5,4,2,1,1,2,5,1
Ivanhoe,457.0,-37.7683771,145.0429223,20,20,20,4,20,12,20,20,Medium,5,5,5,1,5,3,5,5
Ivanhoe East,457.0,-37.7730009,145.0602831,20,20,20,5,20,15,20,20,Medium,5,5,5,2,5,4,5,5
Kangaroo Flat,347.25,-36.7968388,144.2438821,20,20,20,20,20,20,20,2,Medium,5,5,5,5,5,5,5,1
Keilor,423.25,-37.7161471,144.8282459,20,20,13,3,8,5,20,4,Medium,5,5,3,1,2,2,5,1
Keilor East,405.0,-37.739801,144.8637658,20,20,20,2,8,13,20,20,Medium,5,5,5,1,2,3,5,5
Kensington,398.75,-33.910021,151.2232749,20,20,20,13,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Kew,481.25,-37.8074324,145.0288674,20,20,20,11,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Lalor,360.0,-37.6655588,145.0165638,20,20,20,13,20,20,20,7,Medium,5,5,5,3,5,5,5,2
Lara,420.75,-38.0229202,144.3964232,6,20,20,7,10,19,20,0,Medium,2,5,5,2,3,4,5,1
Lilydale,428.75,-37.7569847,145.35496,18,20,20,20,20,20,20,0,Medium,4,5,5,5,5,5,5,1
Maffra,335.0,-37.959694,146.9862449,0,20,6,4,2,9,20,0,Medium,1,5,2,1,1,2,5,1
Malvern,450.0,-37.852403,145.0357348,20,20,20,6,20,20,20,20,Medium,5,5,5,2,5,5,5,5
Malvern East,405.0,-37.8773116,145.059272,20,20,20,5,16,19,20,20,Medium,5,5,5,2,4,4,5,5
Melbourne,362.25,-37.8136276,144.9630576,20,20,20,20,20,20,20,20,Medium,5,5,5,5,5,5,5,5
Melton,350.0,-37.6835831,144.5779508,11,20,20,7,15,20,20,0,Medium,3,5,5,2,4,5,5,1
Mentone,432.5,-37.9812197,145.064387,20,20,20,20,20,20,20,9,Medium,5,5,5,5,5,5,5,2
Middle Park,498.75,-37.8509396,144.9615926,20,20,20,18,20,20,20,20,Medium,5,5,5,4,5,5,5,5
Mildura,332.5,-34.2068859,142.1366852,20,20,20,10,8,20,20,2,Medium,5,5,5,3,2,5,5,1
Mill Park,380.0,-37.6703725,145.071113,20,20,20,7,17,11,20,7,Medium,5,5,5,2,4,3,5,2
Mitcham,420.0,-37.8163579,145.1936683,20,20,20,0,14,20,20,14,Medium,5,5,5,1,3,5,5,3
Moe,265.0,-38.18429440000001,146.2544694,0,20,8,8,2,16,20,0,Low,1,5,2,2,1,4,5,1
Mont Albert,487.5,-37.8160228,145.1077021,20,20,20,15,20,20,20,18,Medium,5,5,5,4,5,5,5,4
Montmorency,465.75,-37.7181881,145.1233671,20,20,20,0,9,16,20,6,Medium,5,5,5,1,2,4,5,2
Moonee Ponds,405.5,-37.767131,144.9248074,20,20,20,10,20,20,20,20,Medium,5,5,5,3,5,5,5,5
Mordialloc,432.5,-37.9995418,145.0940302,20,20,20,13,17,20,20,5,Medium,5,5,5,3,4,5,5,2
Mornington,546.25,-38.22882,145.0600448,20,20,20,13,20,20,20,2,High,5,5,5,3,5,5,5,1
Morwell,250.0,-38.2288029,146.4112579,7,20,10,5,10,16,20,1,Low,2,5,3,2,3,4,5,1
Mount Clear,356.25,-37.6030288,143.868474,20,20,20,20,20,20,20,6,Medium,5,5,5,5,5,5,5,2
Mount Waverley,496.5,-37.8749614,145.1291077,20,20,20,5,16,20,20,20,Medium,5,5,5,2,4,5,5,5
Mt Eliza,546.25,-38.1872268,145.0920162,20,20,20,20,20,20,20,2,High,5,5,5,5,5,5,5,1
Mt Martha,546.25,-38.26962150000001,145.018367,17,20,20,12,20,19,20,0,High,4,5,5,3,5,4,5,1
Mulgrave,480.0,-37.9187107,145.158814,20,20,20,9,12,13,20,19,Medium,5,5,5,2,3,3,5,4
Murrumbeena,402.25,-37.8978307,145.070895,20,20,20,18,19,20,20,20,Medium,5,5,5,4,4,5,5,5
Narre Warren,392.5,-38.026173,145.3067451,20,20,20,13,20,20,20,1,Medium,5,5,5,3,5,5,5,1
