suburb,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Blackburn,198.75,207.5,218.33333333333334,223.0,232.5,244.5,252.5,277.5,315.0,343.75,356.25,375.0,380.0,380.0,387.5,391.25,406.25,415.0,430.0,443.75,435.0,423.75
Box Hill,187.5,196.25,210.0,215.0,223.75,232.75,247.5,268.75,300.0,316.25,342.5,350.0,355.0,353.25,363.75,376.25,395.0,403.75,435.0,448.25,440.0,401.25
Bulleen,226.25,233.75,248.33333333333334,250.0,258.75,266.25,281.25,310.75,352.5,371.25,388.75,401.25,402.5,416.25,427.5,442.5,450.0,456.25,478.0,488.75,481.25,478.75
Templestowe,226.25,233.75,248.33333333333334,250.0,258.75,266.25,281.25,310.75,352.5,371.25,388.75,401.25,402.5,416.25,427.5,442.5,450.0,456.25,478.0,488.75,481.25,478.75
Doncaster,226.25,233.75,248.33333333333334,250.0,258.75,266.25,281.25,310.75,352.5,371.25,388.75,401.25,402.5,416.25,427.5,442.5,450.0,456.25,478.0,488.75,481.25,478.75
Burwood,207.25,222.0,240.0,240.0,248.75,252.5,260.25,282.5,331.25,340.25,358.0,366.25,391.25,400.0,397.5,405.25,426.25,440.75,457.5,467.75,457.5,450.0
Ashburton,207.25,222.0,240.0,240.0,248.75,252.5,260.25,282.5,331.25,340.25,358.0,366.25,391.25,400.0,397.5,405.25,426.25,440.75,457.5,467.75,457.5,450.0
Camberwell,226.25,233.75,249.66666666666666,249.0,251.25,261.25,271.25,301.25,346.25,372.5,387.0,405.0,417.5,425.0,425.0,430.0,442.5,458.75,488.75,500.0,497.25,456.25
Glen Iris,226.25,233.75,249.66666666666666,249.0,251.25,261.25,271.25,301.25,346.25,372.5,387.0,405.0,417.5,425.0,425.0,430.0,442.5,458.75,488.75,500.0,497.25,456.25
Canterbury,236.25,242.5,250.0,253.0,259.5,272.5,278.75,308.75,367.0,396.25,407.5,411.25,420.0,428.0,446.25,447.5,450.0,475.75,495.0,512.5,515.0,487.5
Surrey Hills,236.25,242.5,250.0,253.0,259.5,272.5,278.75,308.75,367.0,396.25,407.5,411.25,420.0,428.0,446.25,447.5,450.0,475.75,495.0,512.5,515.0,487.5
Mont Albert,236.25,242.5,250.0,253.0,259.5,272.5,278.75,308.75,367.0,396.25,407.5,411.25,420.0,428.0,446.25,447.5,450.0,475.75,495.0,512.5,515.0,487.5
Chadstone,193.75,203.75,210.0,219.0,228.75,233.75,247.5,275.0,315.0,345.0,357.5,372.5,375.0,381.25,390.0,400.0,415.0,431.25,448.75,457.5,457.5,433.75
Oakleigh,193.75,203.75,210.0,219.0,228.75,233.75,247.5,275.0,315.0,345.0,357.5,372.5,375.0,381.25,390.0,400.0,415.0,431.25,448.75,457.5,457.5,433.75
Clayton,178.75,186.75,195.0,208.0,213.75,223.75,239.5,261.25,298.75,327.5,330.0,342.5,350.0,346.25,352.5,361.25,370.0,385.0,400.0,415.25,416.25,398.25
Doncaster East,226.25,233.75,248.33333333333334,250.0,259.75,267.5,285.0,310.0,340.25,360.0,377.5,395.0,400.0,415.0,425.0,447.5,452.5,470.0,478.75,493.75,496.25,483.75
